team,name,confed,prior_matches,new_matches,total_matches,prior_weight,new_weight,prior_off,prior_xG_scaled,new_xG,pooled_xG_pre_normalization,xG,prior_def,prior_xGA_scaled,new_xGA,pooled_xGA_pre_normalization,xGA
France,France,UEFA,43.0,8.0,51.0,0.8431372549019608,0.1568627450980392,2.475536960683234,2.433580831979372,2.619111211542294,2.4626836366166933,2.395405568761464,0.5855879532586685,0.5855879532586685,0.6432854194299562,0.594638536187498,0.567457246635934
Gabon,Gabon,CAF,23.0,10.0,33.0,0.696969696969697,0.30303030303030304,1.4163125276125994,1.3923084462204938,1.4629334736932684,1.413709969697092,1.3750888192355726,1.0159789807883857,1.0159789807883857,1.0993524655463711,1.0412436731392902,0.9936477908495341
Gambia,Gambia,CAF,26.0,7.0,33.0,0.7878787878787878,0.21212121212121213,1.1595569501479357,1.1399044378192824,1.4007297236775826,1.1952310136074067,1.1625784909526384,1.107688001685526,1.107688001685526,1.24900932264381,1.1376652515857681,1.0856618802362277
Georgia,Georgia,UEFA,34.0,8.0,42.0,0.8095238095238095,0.19047619047619047,1.6972276363104477,1.6684625230119015,1.600563902840491,1.6555294525030615,1.6103020342566603,0.7966391579279252,0.7966391579279252,0.9742737962499824,0.8304743271321267,0.7925128399812151
Germany,Germany,UEFA,40.0,8.0,48.0,0.8333333333333334,0.16666666666666666,2.483323646597801,2.4412355468502436,1.8734222635494864,2.3465999996334506,2.282493221297394,0.744508560885613,0.744508560885613,0.6748767110918992,0.7329032525866608,0.6994017986621214
Ghana,Ghana,CAF,36.0,8.0,44.0,0.8181818181818182,0.18181818181818182,1.3438627246510453,1.3210865438340074,1.4558759689325915,1.34559371203375,1.3088334299911293,0.9326851835576666,0.9326851835576666,0.7445138330987576,0.8984722107469558,0.8574024989335824
Gibraltar,Gibraltar,UEFA,32.0,8.0,40.0,0.8,0.2,0.4150725125499567,0.40803774149439753,0.4965220680145103,0.42573460679842007,0.41410396072653827,0.9373843701270348,0.9373843701270348,1.222304896212176,0.994368475344063,0.9489152868868121
Greece,Greece,UEFA,32.0,8.0,40.0,0.8,0.2,1.7187016285469725,1.6895725677104292,1.9234824155124124,1.736354537270826,1.6889190580877464,0.6582295739141604,0.6582295739141604,0.9649222509883222,0.7195681093289927,0.6866762129222392
Grenada,Grenada,CONCACAF,28.0,6.0,34.0,0.8235294117647058,0.17647058823529413,0.4821563305702459,0.4739846032310573,0.3116392627236221,0.44533542549445104,0.4331693045484757,1.4072679037048064,1.4072679037048064,0.9085171673719884,1.3192530678813679,1.2589492068840953
Guadeloupe,Guadeloupe,CONCACAF,26.0,3.0,29.0,0.896551724137931,0.10344827586206896,0.6602369935911202,0.6490471027843537,2.185196963094948,0.8079591572992428,0.785886516623516,0.1591037736709782,0.1591037736709782,1.5394792276215925,0.30190123442449,0.28810114517787055
